accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
1.019990163732052355e-03,-5.006319106335805139e-03,-9.808857462182185571e+00
-1.334839703396090713e-03,-5.693203928241217593e-04,-9.806558953425616565e+00
7.852642225138118173e-03,1.007070875295795580e-02,-9.803987113540831189e+00
5.176445354264988009e-03,-1.981472176874512353e-02,-9.793176454650772911e+00
-8.171807408107724380e-03,8.885497910733343788e-03,-9.807432065307921221e+00
9.284264656780007521e-03,-2.011774507205873683e-02,-9.793869970711744699e+00
-5.926036047294837511e-04,-5.579599201450157961e-03,-9.800647232775942186e+00
3.765236148833118936e-03,-1.106916266904536816e-02,-9.786941223486726571e+00
7.326940929734918929e-03,-5.162421097197034646e-03,-9.787931364932077827e+00
8.445713816059936731e-04,3.489597732440799516e-03,-9.805598794974246246e+00
-1.417836739936751897e-02,7.930648056212687494e-03,-9.795703484609155964e+00
-3.150773571450423815e-03,-1.246461792326428696e-02,-9.795788738671264539e+00
-5.977731026584865402e-03,1.534376599198973914e-02,-9.797073463010736560e+00
-1.359905158005763649e-03,-1.145297878130361078e-04,-9.793051707280703511e+00
5.112724661198193334e-03,-8.816895432813427400e-03,-9.804044747744880439e+00
1.543707031690973175e-02,5.375242839048398162e-03,-9.791837127090262882e+00
-3.230669831998122122e-03,1.106356920840753134e-02,-9.803452887427932083e+00
-2.055469330631947474e-03,1.466374373251809774e-04,-9.794258822862676794e+00
3.265966658997690539e-03,-6.617157922559625295e-03,-9.792473509861286729e+00
-8.224647925767155504e-03,1.048911467880862119e-04,-9.789967090419819939e+00
3.486106663885735982e-03,2.261197644151934430e-03,-9.812029004175244040e+00
1.583661316780778788e-02,1.758164856655472031e-03,-9.789036592492134758e+00
3.127787373170829669e-03,-3.537851186765824003e-03,-9.799267396558068555e+00
7.089191249996136535e-03,-6.579404900340250772e-03,-9.797949776274538891e+00
-5.434691933510574571e-03,1.181760602988758332e-02,-9.779717540490524996e+00
3.796560333482177675e-03,-1.067603187372089674e-02,-9.786686101754570544e+00
-1.410908815023276600e-02,7.129153614513581566e-03,-9.798702853331734630e+00
-1.115956958571184186e-04,7.398852427540568953e-03,-9.791250260664424943e+00
-2.257431229789929553e-03,-9.366611312410641141e-03,-9.779305367381406100e+00
-4.000972834222741442e-03,-5.882660945791615657e-03,-9.798006196680361768e+00
8.231570637353689476e-03,8.373902738382952779e-03,-9.810798091098314799e+00
1.172819936340246949e-02,8.465170130211386104e-03,-9.787157474854447869e+00
-5.251160931590905488e-03,7.948778476521020653e-03,-9.799303257142982559e+00
1.157649443861129106e-02,6.247637194848109981e-04,-9.787312547054749956e+00
-7.659083405063768675e-03,1.153304062489752266e-03,-9.785906855703901286e+00
-1.237251660678027193e-02,-3.247069919893636521e-03,-9.795802710745196151e+00
-5.845538609963221374e-03,-1.073013785253833414e-04,-9.798415242733888419e+00
-3.299053081805914615e-03,3.152930673488860136e-03,-9.791309640409670223e+00
1.360382268060957370e-02,4.082477895050005620e-03,-9.803667341444974426e+00
-2.011324975896378942e-04,-2.329219335470853673e-04,-9.793880703104195007e+00
3.370430791672704169e-03,2.114497875306990476e-04,-9.794968183074942658e+00
-7.938076586283621117e-03,-8.792356815515701279e-03,-9.799889075949733908e+00
-8.321292296202265071e-03,-1.030163670725547410e-02,-9.789894311011909878e+00
3.490467621261244841e-03,4.568705758604510100e-03,-9.800904011943213590e+00
-5.895618558904930188e-03,-6.468923356944368715e-03,-9.808923570837407624e+00
-1.130378410916150697e-02,-1.490247471168179745e-02,-9.802564470038019451e+00
-9.047616187099240259e-03,7.364524342749729537e-03,-9.802510953331946553e+00
3.224688235629422951e-03,-6.784641334744364064e-04,-9.788014684466080695e+00
-9.096824474480314296e-03,-2.091116089526783191e-03,-9.775419636008846780e+00
-2.756017984774382628e-03,-6.164006797139725408e-03,-9.805853159113869566e+00
-9.488286678085332965e-03,-5.489804365753846518e-03,-9.786875430369255113e+00
1.303823667734653989e-02,4.137796874554912113e-04,-9.792281736192414598e+00
-5.312780793067593821e-03,-6.925067925464534462e-04,-9.792482972521225904e+00
4.312220441424134514e-03,1.223285433655650796e-02,-9.784723100672755081e+00
1.099744956251990291e-03,-8.535905142669555088e-05,-9.796048273715420862e+00
-3.748159766590685501e-03,1.086468776933090068e-02,-9.785310475120841289e+00
3.700008380598798427e-03,-7.653548846954532150e-03,-9.797701510955278081e+00
3.563298403404338479e-03,-3.854187955627158806e-03,-9.806911132450933266e+00
5.004711706444527237e-03,7.046171216218532173e-03,-9.790717975057210865e+00
2.420053761814315758e-03,-2.584834709424245415e-04,-9.789135371200325508e+00
2.479180817074167864e-04,1.124198476185656525e-03,-9.788966664365830184e+00
-6.462436618528682487e-03,-7.881444382933918552e-03,-9.788771386024407661e+00
6.351906905496376710e-03,1.583601755808196343e-02,-9.801807123469234995e+00
9.290352355830025152e-03,5.701348748639323023e-04,-9.799425720202620482e+00
-1.008085834628492071e-02,-6.905652151182010024e-04,-9.784196410184314630e+00
-8.531144136472088024e-03,5.452064736872392486e-03,-9.783093466122982917e+00
9.756055065208381685e-03,-1.597031059134006864e-02,-9.807150982535034700e+00
-4.690489344537234623e-03,-4.144453916117426910e-03,-9.794933955546065718e+00
3.658560378343171833e-03,-1.346387158777467494e-02,-9.796075476335333931e+00
2.279506458048073149e-03,-9.678176155815900253e-03,-9.791941896783798782e+00
1.828664848863369510e-02,-2.592430998369486643e-03,-9.802315551907987867e+00
-7.185805122869190487e-03,-4.094991811614987973e-03,-9.795351205102370784e+00
7.740079151004826234e-03,2.114371861129953675e-03,-9.798602549086208313e+00
-4.305999118689772011e-03,8.580628725599653145e-03,-9.795324794111134992e+00
3.630026780119150875e-03,-1.126195732212272385e-02,-9.796999968736811226e+00
-4.654087844940302948e-03,1.190688003470779729e-02,-9.804375189760783371e+00
-1.679244576242415465e-02,2.104629081642215432e-02,-9.788187977515793392e+00
1.311813428296992705e-03,1.449697287306646581e-03,-9.794098991054106307e+00
-7.419517129362567139e-03,-8.813172505146237533e-04,-9.806988688442848101e+00
1.324977404352005797e-02,-1.440462351870551438e-02,-9.791869437441397039e+00
-4.607012353203147025e-03,-8.464810902877716731e-03,-9.796734604458123385e+00
-1.455559889656075044e-02,-6.593009606570275280e-03,-9.793790626024339474e+00
-5.623154629255380441e-04,-1.678917054494402997e-02,-9.795110043105101028e+00
1.695528386379629299e-02,-7.658358198506834760e-03,-9.790153591210211559e+00
1.146601827763509994e-03,-1.589511243332137128e-02,-9.801428335788612500e+00
-1.142807591342357267e-03,-8.869699935009816086e-03,-9.806046843151820624e+00
6.182238200162208479e-03,2.324267022798559459e-04,-9.796147943084806187e+00
1.397064183242732911e-02,8.565684324809112390e-03,-9.803986956485740478e+00
9.082178126119798411e-03,9.337027675856092793e-03,-9.800751874559233912e+00
-7.632657609343072684e-03,1.127296629427157124e-02,-9.798921768644222041e+00
7.383163461889426758e-03,2.954879977899794227e-04,-9.786656738251176435e+00
-9.004061829229092128e-04,-8.889838699294728627e-03,-9.801293813991511783e+00
5.926305732770262638e-03,4.850412498103546383e-03,-9.803778199708855112e+00
9.039501992556282089e-03,5.857495647293890252e-03,-9.789631460514087280e+00
-5.850271637696639188e-03,-8.968403506718836821e-03,-9.794101520986179921e+00
6.098537179311919708e-03,-6.540190310814189903e-03,-9.798524222816315188e+00
8.950476990813202279e-04,2.575658537533075543e-03,-9.778990788584399851e+00
-1.245036211738601191e-02,1.028223480774088233e-02,-9.805509480550620438e+00
1.059392901411438260e-03,2.590877520642274195e-03,-9.804603512595619463e+00
-1.755960022613652777e-02,5.244663364727669827e-04,-9.786153812240209859e+00
-1.615527715680175344e-03,-8.497644400220601829e-03,-9.794428080640576795e+00
-2.041338670562402064e-04,6.210745900281599424e-03,-9.779810213376505246e+00
1.004435062594796237e-02,-5.319675162053990290e-03,-9.795362370114606421e+00
5.397209825665089285e-03,-1.669842338112196927e-04,-9.795212371390237038e+00
-8.573952602831851413e-03,7.356569092902393546e-04,-9.805209454309286699e+00
8.756371535801754299e-03,-1.254975221176464484e-02,-9.789389854881910935e+00
