gps_lat (deg),gps_lon (deg),gps_alt (m),gps_vN (m/s),gps_vE (m/s),gps_vD (m/s)
3.199998709285771881e+01,1.200000959790564679e+02,-1.000642753653907313e+01,2.868359042153766428e-02,8.118445899256638079e-05,3.105617305155867341e-02
3.200000488240290508e+01,1.199999236567464749e+02,1.336127940225203981e+00,1.498166026048174462e-02,-3.998683966362554659e-02,-1.430290016661136566e-02
3.200001575322980329e+01,1.199999898963341707e+02,-3.973233559816949700e+00,-4.532115321282290110e-02,-3.560837212560893222e-03,-1.176308154840717546e-01
3.199989838309501522e+01,1.200001175949863068e+02,-1.848900396562380699e+00,-4.427797325170772062e-03,-5.161522267576909573e-02,1.999777830813098678e-02
3.200002618281953204e+01,1.199999867628258983e+02,-2.779291827238119961e+00,5.749208131966512814e-02,4.400672856304126829e-02,4.051394155512631073e-02
3.199997600264222086e+01,1.200000126912450753e+02,-3.415431580721753679e+00,3.311271787942990548e-03,-4.506363527879431174e-02,-3.825037952436897461e-03
3.200001575230795225e+01,1.200000136925270482e+02,4.420794577396370606e+00,8.954614496076786223e-02,-8.815781455384541498e-02,-4.047581985777606861e-02
3.199999010758184781e+01,1.200000562459442932e+02,-2.003788543100765818e+00,-4.204621731476243518e-02,-7.785583417234214626e-03,3.684620142169407753e-02
3.199998813238269335e+01,1.199999794813618763e+02,-3.249951330915398451e+00,-4.682334280727701303e-02,5.140247288803539288e-02,-9.128420891727694053e-02
3.200004658082913522e+01,1.200000376842809828e+02,-4.489419016110362648e+00,-6.351802900892992987e-02,4.710075900993200559e-02,-4.261801257531264153e-02
3.199994614973310192e+01,1.199998953443246705e+02,4.047366566672010890e+00,8.287449688736089545e-03,-1.244169805544703168e-02,-2.262857129852908003e-02
3.200000462052500438e+01,1.200000255705694059e+02,1.141643847304431780e+01,1.223700991031653404e-02,3.176684375253985976e-02,1.083061237931576132e-01
3.200000114156475206e+01,1.200000025636251735e+02,-1.699861397273345176e+00,-7.613811870515130309e-02,-2.313655936692815725e-03,3.804598053920821288e-02
3.199992403024360854e+01,1.199999946732054781e+02,8.843872578056055644e+00,-1.977199536201260099e-02,6.734498112701052530e-02,-4.973816266365383570e-03
3.200003168210818671e+01,1.199999692347100506e+02,-1.231093993625518124e+01,3.989254744488367893e-02,2.913733134429492659e-04,-9.588811673106675815e-02
3.199999092610564944e+01,1.200000350550547381e+02,3.334597370889570200e+00,-4.965168036567631921e-02,-6.356755403746303101e-02,1.142404951966626003e-02
3.199997529180577516e+01,1.200000160470794128e+02,5.215558544722303402e+00,9.554023237407327507e-02,-3.766291599117612549e-02,-4.128392163707089724e-02
3.199996634537608386e+01,1.199999397008537017e+02,1.335384430309941806e+01,2.937493449002899493e-02,2.227819172858195012e-03,2.406771241810574252e-02
3.199996647343401790e+01,1.199999894173768809e+02,4.548413188433221066e+00,-4.343870410731409670e-02,1.303130452690214915e-02,1.915059111855577437e-02
3.200000317752664358e+01,1.200000206673759067e+02,2.757818120870440648e+00,-1.117477376956994145e-02,-1.633781740886283348e-02,2.333017179192073409e-02
3.200003860492621754e+01,1.199999743102228251e+02,-1.288446547300309719e+00,2.099497069269236349e-02,-3.618593351154404669e-02,1.230420235315243110e-02
3.200007048451031721e+01,1.200000908596588118e+02,-5.847428536765115759e+00,6.449169256134265615e-02,-3.628492950887286794e-02,-2.631346977831945655e-02
3.199993285630400663e+01,1.199999652122442200e+02,6.248610270144294709e+00,-1.191910456523352368e-01,1.227724410353713859e-02,-5.336543571300406130e-02
3.199997241440030749e+01,1.200000479234515041e+02,-1.059263021784579983e+00,1.658140660620335827e-02,1.695911800698334318e-02,-8.155538805176433537e-02
3.199999110767066668e+01,1.200000500999523325e+02,-1.263311343906522222e+00,-2.723486752671576416e-02,-2.001436196790880653e-02,8.015147024569292677e-02
3.200002336735427377e+01,1.199999726566698968e+02,-7.464498727507692166e+00,-4.482209552128385566e-02,-3.519866687063648997e-02,8.057593913012634293e-03
3.200006449776832795e+01,1.200000482395828953e+02,1.514855369142588160e+01,6.326749829518461821e-02,-3.076585246051423764e-02,3.375710435920228208e-02
3.199993033561198885e+01,1.199999727299061050e+02,1.443408702266394705e+01,-1.612642378482444239e-02,1.290233503092599598e-01,7.823562155023719433e-02
3.200002570412257086e+01,1.200000026630192167e+02,-9.498205807982714077e+00,2.355692103059149264e-02,9.926191123973808483e-02,-1.425367755265767068e-02
3.199997824638746025e+01,1.200000379774733119e+02,1.020786471783639904e+01,-2.902222350944103080e-02,6.525108653427503028e-03,1.788972345972121222e-02
3.200001791437898646e+01,1.200000918142296058e+02,1.419473687639498038e+01,1.013547923090624414e-01,4.172563598456173473e-02,4.763971784588792897e-03
3.199989184499126438e+01,1.199999706605572385e+02,1.013229503849832014e+00,-5.432764580099590929e-02,-4.466671137254074608e-02,-1.599440400827405878e-02
3.200001927779491240e+01,1.199999986857935568e+02,1.025353031038235585e+01,-1.241136411386747906e-01,1.153785591116512216e-02,-8.359123955595622324e-02
3.200002504839737583e+01,1.200001080940774614e+02,-1.227463288271414754e+01,1.280177210374380294e-02,-2.232397339307172490e-02,1.454585861619228128e-02
3.199998253764695022e+01,1.200000509254528538e+02,5.942932016031004849e+00,-4.949512065485062173e-02,-3.977871698578958060e-02,-6.253799524409094264e-03
3.199988132554884857e+01,1.199999606276983002e+02,-5.503896220425641417e-01,-3.024085109609387506e-02,-9.333335198395685539e-02,2.408825827138179332e-02
3.199996744463141951e+01,1.199999560001592016e+02,-6.011736351772920983e+00,6.631097938713371998e-02,3.277848356493616444e-02,7.558438119289979940e-02
3.200000569892917923e+01,1.200000403986155817e+02,-1.245920902211718806e+00,-2.788016879662822550e-03,4.160693508660975176e-02,3.112120664834308603e-02
3.200000063815765827e+01,1.199999805079921771e+02,3.931414773021105091e+00,1.472529302538752860e-01,-1.910975278170445532e-02,-8.363120830471081069e-02
3.199996248868824011e+01,1.199999425464660447e+02,2.207276142387147033e-01,-4.082616947300409839e-03,6.776512861393693687e-02,-5.554135869373508227e-02
3.199997434165495491e+01,1.200000061356830372e+02,-1.407863854018149219e+01,-4.368886548813809972e-02,1.220034257803936928e-02,-1.841473366644014176e-02
3.200012344500994743e+01,1.200000848514218603e+02,-1.798858385911236368e+00,-3.267088630989904707e-02,-7.658300039409298571e-03,5.502653367828515274e-02
3.200008061508351886e+01,1.200000562081019950e+02,-1.800218183037104180e-01,-4.324904221760579592e-02,5.315216729193109751e-02,8.213290711326502735e-02
3.200007949874986934e+01,1.200000193707739413e+02,-2.381386782473071673e+00,2.787467790124067632e-02,-2.278150829651078013e-02,9.085168764628233362e-02
3.199997379196131675e+01,1.199999793207405787e+02,1.328256680237939591e+01,3.699295800410377314e-03,5.852987091886994314e-02,-8.896998063863527373e-02
3.200004230107634839e+01,1.199999597739009687e+02,1.153725613072963441e+01,-2.390756669906685117e-02,-5.084801973717500284e-02,3.647439038497279212e-02
3.200001816079852546e+01,1.200000247295044176e+02,-3.087072976965621773e+00,5.662928994676237615e-02,5.729488300752316743e-02,4.429938778512860359e-02
3.200001872828735117e+01,1.200000151473611538e+02,8.487949771323552994e+00,-1.411844172291614602e-02,-3.253106608102659253e-02,7.841194907459450580e-02
3.199997067380385118e+01,1.199999794335187460e+02,-1.254334034006786425e+01,5.222020491316775592e-02,-2.816057252185339560e-02,-4.924606653169730230e-02
3.200005002699572998e+01,1.200000013306991917e+02,1.223210501392089711e+01,-5.731910060554259306e-03,-1.196437186395682070e-02,-1.999959096117879739e-02
3.200007687888912500e+01,1.200000498409714567e+02,6.910325350333359484e-01,9.432586042753010949e-03,4.884236167119935385e-02,-4.014329272677858579e-02
3.200002361932871509e+01,1.199999938805488426e+02,-5.543411446356365069e+00,2.403850887898077715e-02,-4.714620722020015919e-02,1.706739443061526182e-02
