gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s)
7.685348525052763946e-02,-1.988535816515167309e-01,-9.882610626289842215e-02
-1.606868267569134395e-02,-5.154455189636099333e-02,-3.660747056509652819e-02
9.092107401312772563e-02,-2.533445256079015426e-02,1.693720729800261143e-02
-8.771384720266971191e-02,9.219890064011658504e-02,-6.077173279213941848e-02
4.633307081834052432e-02,-1.285616697859660006e-02,-6.397087574389216658e-02
-2.856350532675548670e-02,5.949900275090956592e-02,7.690149547957053633e-02
6.912620933137895995e-02,1.489082183911196178e-01,-1.262747518215998344e-01
2.400239193951667765e-02,-2.216151432171312996e-01,2.608586863070471717e-01
1.701588246583319031e-01,2.762331003242233379e-02,7.439626606739278836e-02
3.161071885101586487e-02,-8.005068470566585603e-02,1.667649911500490856e-01
-1.186245896241511499e-01,1.565237653696294889e-02,1.332626661880250973e-01
-8.308421943840024748e-02,1.292284664726891727e-02,1.142891872617619042e-01
2.504093256651414995e-02,1.106329542690580175e-01,-1.009193405302993979e-01
3.198803228598860043e-02,-1.012950420598866252e-01,-4.765047179244973757e-02
-1.990688658983751080e-02,6.246235607175772836e-02,-3.142382824559940557e-01
1.410678213826401795e-01,4.739657877988074919e-01,-7.352145025766165798e-02
-7.457004045228628197e-02,-1.059896582251514986e-02,1.506355191259954318e-01
2.256711484857576444e-02,1.003453047236587958e-01,-1.125450602802697750e-02
-3.378495529224000149e-02,5.591618623013446844e-03,1.718205853926196153e-02
1.880993332140538932e-02,5.336743305424708483e-02,2.454590189569857972e-02
-5.302425846969390649e-02,1.930065862883001970e-01,-1.839726046535321013e-01
-2.011864416933018679e-02,-1.381522722351064859e-02,-1.317560790080387345e-01
-2.277375411945333217e-01,-8.015288654798413681e-02,1.981006284965902420e-01
-6.085256149986083968e-02,2.907076460920967123e-02,-1.376721120142338807e-02
1.060954924219269652e-01,4.301073168631282945e-02,8.583653735471791224e-03
-1.824753843423198296e-01,1.209411151449635569e-01,8.128345234059693170e-02
1.044839280380640556e-01,1.251739432105030414e-01,-8.836560712948007823e-02
-1.151833715807528413e-01,-1.525185036992655063e-01,7.525486468518871597e-02
-1.002945467506617394e-01,-1.169073399127808499e-01,9.873712887407673500e-02
1.510180813227492702e-01,-1.065055247729272958e-01,-3.698325457621275819e-02
5.257896690246035426e-02,-2.085659945885281197e-01,1.796517338742736336e-01
-9.822562772793629049e-02,1.767760814414467696e-01,1.480459805750643405e-02
5.264832463553210246e-02,-1.428160394669819241e-02,4.023422062787652270e-03
1.071306308617776537e-01,2.525361177202840868e-02,2.057691455428398847e-02
-2.490485741481894902e-02,-3.507130245035355864e-02,-2.201402587147247292e-01
8.565337942807353666e-02,-7.971643460143337800e-02,8.008952846805450498e-02
2.283425833836088270e-01,6.367925450056882361e-03,-1.172664816411564739e-02
7.398795984218049793e-02,-1.523150657700579336e-01,-3.623307154245475337e-01
-1.420742965291918736e-01,-5.812973981177144145e-02,1.880409030602203935e-01
-1.463881378434769669e-02,-1.600055661218006131e-01,-3.156209927614136990e-02
-2.103359321078746014e-01,-1.464548691765799882e-01,-6.330349011968322559e-02
-1.640058142614248538e-01,-4.883366368105578059e-02,2.903593205798448568e-02
2.634197065188469966e-01,9.550203059903157599e-02,-1.114849799515978956e-01
1.852073809731639639e-02,-1.595192660774023483e-02,3.138423712123702969e-02
1.097177475436886818e-01,-4.563858640587911686e-02,4.533794680441875780e-02
3.500154358724383644e-03,6.623075147894841308e-02,1.488980744815330826e-01
3.234183286331458046e-02,-9.935864519608365864e-02,-1.143080282927033953e-01
-9.900715276050463254e-02,1.624913275119553024e-01,3.289038134484337933e-02
-3.178948035343368700e-02,2.065119152125461932e-01,1.774517202772055158e-01
-3.847518664562388224e-02,-2.462036079248752785e-01,8.778055815103243120e-02
-1.487847116605743036e-01,-1.849105511483506992e-01,-2.056806239867217667e-01
-1.082930199583050646e-01,1.203960698026749765e-01,1.259639339206663523e-02
-7.813116756663925078e-02,1.810800266880676149e-02,-7.983019987718553701e-02
-2.269717312650566532e-01,5.260015369819227155e-02,-1.805716533668046825e-02
1.051500672401043113e-01,1.916990420008464757e-01,1.944840800590060675e-02
-2.407605170848273538e-02,-8.618610331039872063e-02,7.777389692458089310e-02
-1.982779153095437855e-02,1.421868393697476862e-01,-1.012154348540940940e-01
-4.027894907371962208e-02,2.294796918903719007e-01,-1.244391652851045277e-01
1.124534273237487031e-01,-1.108006350954704872e-01,2.463857111572468825e-02
-6.386614467966400532e-02,1.865272694831556291e-02,-2.257077607189309221e-01
1.005746864805779489e-01,9.413286404724402479e-02,-1.412221070866524764e-01
