mag_x (uT),mag_y (uT),mag_z (uT)
3.264749817472193172e+01,-3.538705570202135497e+00,3.753889400034712054e+01
3.243209480894575591e+01,-3.313359458685924519e+00,3.767791266930357352e+01
3.259659153411045907e+01,-3.547307770905427926e+00,3.781879720219794194e+01
3.259593605424525720e+01,-3.671417023976943916e+00,3.755496464322096273e+01
3.241093105464621971e+01,-3.414261150563036473e+00,3.747858565269164188e+01
3.247588157344318915e+01,-3.610261195388887234e+00,3.749001036513448071e+01
3.253950223897563632e+01,-3.557781234366113932e+00,3.758711649502005514e+01
3.237834130289726176e+01,-3.510293370870849916e+00,3.745726756692148740e+01
3.251664520481764242e+01,-3.333542208488783576e+00,3.759695394096900856e+01
3.242109344590960518e+01,-3.518964539820820026e+00,3.748993446104523031e+01
3.254543365553612233e+01,-3.655801219436250360e+00,3.757178151012420386e+01
3.270593924950556897e+01,-3.520740946067915988e+00,3.753066339474628421e+01
3.255250980126643867e+01,-3.348349965262043426e+00,3.769651734679523258e+01
3.250951451950441395e+01,-3.570471852695113135e+00,3.744458836266663582e+01
3.262949946778697097e+01,-3.568863758803251685e+00,3.753842126766657117e+01
3.267454920184249545e+01,-3.431079155095108746e+00,3.753064794069914001e+01
3.248217512274922569e+01,-3.414717119767990638e+00,3.760451607888077774e+01
3.259387110312137281e+01,-3.470395825608360241e+00,3.751497469354717396e+01
3.251190496923722151e+01,-3.615185519715598428e+00,3.757820024747977072e+01
3.250592444968584971e+01,-3.411846802983750315e+00,3.755969547503251249e+01
3.265013429432153202e+01,-3.458575851509266830e+00,3.739520721491450672e+01
3.257100123610143072e+01,-3.588989982388467226e+00,3.748319249284070764e+01
3.263845777932818493e+01,-3.688941279255060213e+00,3.743369861121308872e+01
3.260368320682475485e+01,-3.504767800860285831e+00,3.756277727539782063e+01
3.260956013904051787e+01,-3.607463297024967819e+00,3.761863918617304137e+01
3.257875733800776175e+01,-3.632000176502942157e+00,3.754115742168725234e+01
3.259891277617807503e+01,-3.582727583176140929e+00,3.741118432029466589e+01
3.242704346216187616e+01,-3.452093817624140026e+00,3.749919742417004898e+01
3.270405670202930537e+01,-3.418785987338976984e+00,3.768555883963547615e+01
3.238415272389338639e+01,-3.577012656334471519e+00,3.746523265361856403e+01
3.263429763617151735e+01,-3.383807867254148061e+00,3.771241526436426739e+01
3.260808638066109211e+01,-3.508347867884717974e+00,3.764326644437907277e+01
3.251248567122645028e+01,-3.648586849034743729e+00,3.741337115411432990e+01
3.281253954808657625e+01,-3.326253037734317353e+00,3.746581384686854932e+01
