accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
-1.011260124210932925e-03,-2.004535948760409643e-03,-9.807587672632344322e+00
-3.002841059788353105e-03,-2.293229981416439796e-03,-9.790880482879169122e+00
-1.120489228731053923e-02,-2.551268645631534979e-03,-9.798101480852594136e+00
-4.712716670211088490e-03,4.117364850283174692e-03,-9.801233314169436994e+00
2.498988839837113646e-03,-8.876179442071996731e-03,-9.795992997075847697e+00
2.345321225446686531e-03,-5.171860141585589736e-04,-9.786642229039609120e+00
4.949700607278536071e-03,-9.561125593044605573e-04,-9.792970498691126124e+00
-2.875033688029935471e-03,-1.202621383025211880e-03,-9.798304039340420601e+00
-7.003891806765319417e-04,-1.386946292633219231e-02,-9.805921999252635857e+00
-2.475408927102461330e-03,9.229406348305207487e-04,-9.802573400520603997e+00
4.729091545991379215e-03,-4.042379265702627025e-03,-9.786421682239883069e+00
-4.477556979071975994e-03,-6.133904361323916886e-03,-9.791290190549501560e+00
-8.529289049473748677e-03,2.447614588874679788e-03,-9.797241864925501531e+00
-4.891390388410676686e-03,3.138616488031728308e-04,-9.796927517553115194e+00
2.714413711549886008e-03,1.108414502211131115e-02,-9.792941215751408635e+00
5.398641909055252978e-03,2.920498197374567749e-03,-9.791074808061534185e+00
-4.573387126992184068e-03,5.185141907426671012e-03,-9.786540430730561013e+00
5.248929371960140908e-03,2.886951073743815755e-03,-9.792563757934344082e+00
-1.187910201081790115e-02,5.014524243789410555e-04,-9.798093116616925613e+00
-1.670528333198831707e-03,1.196827639272096764e-03,-9.796720798836455302e+00
-6.807379456975079859e-03,5.098759634640154248e-03,-9.793871381529273279e+00
8.137471627029773877e-03,8.531439647897683456e-03,-9.798606227302530058e+00
3.044433575989545591e-03,-2.879867803720988564e-03,-9.791418066138303899e+00
-3.944669013315964257e-03,-1.522610184107229766e-04,-9.794291602714922718e+00
-9.000582976760464204e-03,-1.587179169500710970e-03,-9.802395937966240425e+00
-2.578455956305023347e-03,2.452968324881588894e-03,-9.796314819562669030e+00
-5.934412718600531531e-03,2.682222220099240648e-03,-9.794508253961515365e+00
8.550830295542811293e-03,5.062563422214691120e-03,-9.796485953673084168e+00
-1.702284179841321611e-03,-6.946189756921448445e-04,-9.796331771350970996e+00
-4.474573706450610602e-03,-6.254030149780757074e-03,-9.799650895325694222e+00
-5.011126149108496679e-03,-3.147946839497994115e-03,-9.788847691023587316e+00
-7.976644903845505133e-03,1.665674747584098376e-03,-9.795788451880598657e+00
-1.882261834881711598e-03,-4.309657881486661166e-03,-9.796792899782090558e+00
-7.109940027192354628e-03,3.937754281989212270e-03,-9.797529884948326995e+00
-7.745061906062264412e-03,-2.319534691774004665e-03,-9.792037689956313073e+00
-8.660572446366129884e-03,3.386320770992644683e-03,-9.786850311669519797e+00
-9.453159836527521773e-03,-8.971607740026773734e-03,-9.801561184946265826e+00
2.930172392238000745e-03,6.584686007592661927e-03,-9.789575886712047037e+00
-1.323671367473512996e-03,5.368541744337942088e-03,-9.799125549286177517e+00
-1.648604846902486419e-03,-2.424528114025383332e-03,-9.798407444039451519e+00
-3.658031276092363338e-03,-7.908205079032041077e-03,-9.806077252231650832e+00
