gps_lat (deg),gps_lon (deg),gps_alt (m),gps_vN (m/s),gps_vE (m/s),gps_vD (m/s)
3.199996762754503976e+01,1.199999475160356894e+02,1.636175589469855751e+01,-5.878869547760277176e-02,-2.239244410326114362e-02,5.561889268927160818e-02
3.199998892251639759e+01,1.199999918680782400e+02,6.897431975464082932e+00,-2.770543561535759522e-02,4.747656909122602298e-02,2.928116923796726667e-02
3.200004396670405526e+01,1.199999814715110347e+02,-1.227937089272731264e+01,2.941264834085147856e-02,7.109136731800562437e-02,-7.205718934151919552e-02
3.200007955546387706e+01,1.199999806397840558e+02,-9.726104601016967166e+00,-1.034341965021887272e-01,1.102893831625324506e-01,-2.761662498854658074e-02
3.199998572132957975e+01,1.200000322157857369e+02,6.582772643202216223e+00,-5.694863089247259591e-02,-7.405782310036689020e-02,3.253846154895522966e-04
3.200001878401410238e+01,1.199998841569064467e+02,4.011019048052313352e-01,4.360505441699723261e-02,3.468731465351940213e-02,7.126696959472506032e-02
3.199999661696882214e+01,1.199999229896718447e+02,-1.178913900307072815e+01,9.233188027908240114e-02,-5.562968487622519526e-02,-1.669370966260196390e-02
3.199998825324788498e+01,1.199999931724101003e+02,-5.585182365238173574e+00,-3.961022808434569442e-02,-4.496671990555602128e-02,-1.149050381847848412e-01
3.199998968355333062e+01,1.200000017593014405e+02,3.097519930973720470e+00,3.890411765437200992e-02,-4.366889402188897651e-02,2.230811089784911702e-02
3.200006969297881199e+01,1.200000195782288301e+02,-5.464292046270973202e-01,-2.661501552958046358e-04,5.761629303560287380e-02,-8.550974231132894843e-02
3.199995994805311028e+01,1.199999385974605843e+02,2.064493864060199801e-01,6.401895578194598257e-02,-4.709428823830344446e-02,-4.086031967134340359e-02
3.199993675980750041e+01,1.199999368038064915e+02,-2.206321811815000533e+00,-5.185479791451363257e-02,2.334876695166361593e-02,5.992040615027482975e-02
3.199998445653423573e+01,1.199999425032561078e+02,3.139873717969627887e+00,-5.511803742698329067e-02,-1.368733903989579476e-02,-5.015538023569333925e-02
3.200003257404982548e+01,1.200000483159722364e+02,3.591382926433844602e+00,-3.099989366824425479e-03,-5.840563998085921554e-02,-6.831759312026437769e-02
3.199999466445676788e+01,1.199999968931440009e+02,-5.123264420138808894e-01,3.241470214812378764e-02,4.480238664851064062e-03,6.124493603693991622e-02
3.199999657566010924e+01,1.199999748247165741e+02,2.660018059491585873e+00,4.860133734931920690e-02,8.927925949013830464e-02,5.090263377844705256e-02
3.200002275760363091e+01,1.200000345692018300e+02,-1.018430447252404569e+01,-4.997903275507459275e-02,8.168889391177683312e-02,7.283607907646857949e-03
3.200009439001379263e+01,1.199999779663593102e+02,1.574828061452963057e+00,6.766955833716033555e-03,2.559234642791636399e-02,1.754081637833116575e-02
3.200004967553404356e+01,1.200000502152915800e+02,1.143786925778438768e+00,2.818674481668055620e-02,6.619871856064026006e-02,2.036590295602003220e-02
3.200002142713551478e+01,1.200000141295857219e+02,2.035650037325787753e+00,-4.966544731641733129e-02,-7.093186478438780586e-04,-1.566073143687780195e-02
3.199999862582079047e+01,1.199999915954647491e+02,-5.863796478142002666e-01,6.584657876219975059e-02,2.220344902034603659e-03,1.045759359083037188e-01
3.199998437693949427e+01,1.199999328004431760e+02,3.098854424711173117e+00,-5.961061514706259001e-02,-2.709787470410422033e-02,-4.726528385826166134e-02
3.199999402185757447e+01,1.199999811143389792e+02,-3.127298965795267449e+00,-1.057527424499114521e-01,-1.846727142763815097e-02,-7.949204029381272407e-02
3.200001086234461667e+01,1.199999902565059102e+02,1.300701248323732528e+01,-2.867613045128998908e-02,-1.343781470452701937e-02,1.809244120189281574e-02
3.200000987325743296e+01,1.199999947508630527e+02,5.314567063212511044e+00,-2.058401481400990579e-02,-3.617552094499229542e-02,3.891372336447398994e-02
3.199999378814258222e+01,1.199999899151462586e+02,-9.711156993566396167e+00,-3.980260874954760775e-02,7.908907973736557795e-02,-4.429070279876232835e-02
3.200001067231627161e+01,1.199999625849478946e+02,-1.573899638626216957e+00,-2.071176910014813077e-02,-4.041943769176002677e-02,3.016763849522852148e-02
3.200001904211568871e+01,1.199999958745423356e+02,5.422736275659681970e-01,6.850968280144574887e-03,1.022771694023526939e-02,4.975812123854745500e-02
3.200000621534071854e+01,1.199999802587306590e+02,-7.220291458031631304e-01,-3.795708553927792592e-03,8.428871929353781711e-02,-3.520716655370455944e-02
3.200000745530201129e+01,1.200000901116169558e+02,8.825521521269044101e+00,2.382250345353515569e-02,2.726472178606225913e-02,-5.690055662696799632e-02
3.199997623520672008e+01,1.200000257426945893e+02,-1.366335312600186036e+00,-1.515963217344738594e-02,2.330034700650040688e-02,-4.801258253792009545e-02
3.199991841683458560e+01,1.199999476135394474e+02,1.105702642959281778e+00,2.563509708909305837e-02,-3.630188579841766433e-02,4.497314458425105688e-03
3.200011341173192392e+01,1.200000923338530470e+02,4.370171711489684974e+00,9.815966913773392644e-03,-4.955537891194176231e-02,-2.186697409145680129e-02
3.200001023611885387e+01,1.199999773310142928e+02,-4.090590745070058709e+00,1.738537108010400345e-02,3.738555941673812194e-02,3.443861286090470902e-02
3.200000337821317942e+01,1.200000387844683019e+02,-2.848680100878686172e+00,7.768886267776241306e-02,5.509087179731472945e-03,-4.619662793064790995e-02
3.200004975268260665e+01,1.200000396914988414e+02,-3.693733667781410990e+00,2.151935149834220684e-02,-7.718063076192541172e-02,-4.217805632248369796e-03
3.200001283822277287e+01,1.200000690725536572e+02,-5.094527892441633732e+00,5.338046242026691160e-03,2.146308365855119360e-02,-3.385047125363796483e-02
3.199999972059233500e+01,1.199999671096722551e+02,-2.663813854071726439e+00,8.167170640757191735e-03,-4.332766341176402802e-02,4.723052548145616897e-02
3.200001816304747138e+01,1.200000273020715014e+02,-3.682665981883437745e+00,-4.083640827493571074e-02,1.942053538630432452e-02,1.416156292571111447e-02
3.199997853306642526e+01,1.200000731753772101e+02,-4.711486032224463827e+00,-1.050217025574231022e-01,-3.267598685871797581e-02,6.205815345364047719e-02
3.200002818138059268e+01,1.200000439103333889e+02,7.303560086842795229e+00,-1.169675666475462200e-02,-4.645048955217986886e-02,-7.713714658694384614e-03
3.200000035423780531e+01,1.199999754405615704e+02,-2.123004325221673927e+00,-4.147565205659998339e-03,2.745787873111517688e-02,-2.826944512068491067e-02
3.200005592981538172e+01,1.200000542223332474e+02,2.352277508278449503e+01,-1.917223685700527452e-02,8.977760930130819148e-03,1.066070111315705615e-01
3.200001542506560526e+01,1.200000590929814450e+02,1.272148330405988403e+00,-5.702839576320754139e-02,-5.707137002755692523e-02,-2.991025313092194465e-02
3.200002500257051707e+01,1.199999599365700362e+02,-3.344622866749386247e+00,-1.834956621320590897e-03,7.379971030151742661e-02,8.731120769278402638e-02
3.199998278563958820e+01,1.199999799765172952e+02,-1.743304774954934189e+00,6.559292975492053701e-02,-9.167772635177001694e-02,1.732929021571169223e-02
