gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s)
-1.681982797069279251e-02,-4.098860649979883808e-02,-1.396977148994251773e-02
1.180641030302986491e-02,2.546487733217252247e-02,-3.203484296673111270e-02
2.087722376268357286e-02,1.752866040588223553e-02,-9.022673023155279581e-02
5.485610276762360044e-02,-5.567249877185884849e-02,-3.266528441740593897e-02
4.003715058031474122e-02,2.613197794417408334e-02,-9.278326125788421974e-02
6.186201400434541281e-02,4.776449094954887675e-02,-4.879848114632808626e-02
-4.001312693017087391e-02,-1.102866350102170850e-01,-4.573999475403418835e-02
8.899349583823053245e-03,3.566885714407282137e-02,-4.230080868237932890e-02
4.803908006673365122e-02,-8.227380652168736182e-04,3.285622639302034076e-02
-4.594135705354651482e-03,4.298069237060208464e-02,-9.570709192016776338e-04
-1.876290365895333032e-02,-5.857052417181657887e-03,-2.336005577818620754e-02
-3.107256838997450935e-02,-1.221213533855821168e-02,1.786016090719038177e-02
-1.183824895192634591e-02,-3.752432819635968114e-02,3.089532408048283399e-02
-2.240810993557915392e-03,4.463028586849462215e-02,4.821781831143635844e-02
-7.309957993607312486e-03,-5.418395467117732150e-02,2.676452146134090590e-02
3.146504502556084215e-02,-4.568633989003428181e-02,3.272994712836288511e-02
1.106864111508709669e-02,2.653977646957768680e-02,6.370930469835034415e-02
3.628058925848528377e-02,3.972150902536043110e-02,1.229705871760861449e-02
3.807558681289005542e-02,2.548153822191352030e-02,-5.447048464699571352e-02
-2.954476677755305154e-03,-1.073963433349431687e-03,7.228430301622440490e-02
5.593986454758747423e-02,-4.933826680142218424e-02,-8.622079760969271695e-04
5.037604013323731394e-02,6.657920388980645421e-02,-3.714616630553451565e-02
5.575092728470472381e-02,-4.411388428728676286e-02,4.836110039209182143e-02
-3.425208622071169995e-02,-3.014715593411597394e-02,9.702470989700831203e-03
-1.329506468676180941e-01,-4.434608693687799863e-02,2.293104100762824796e-02
-1.682790557089099831e-02,1.272726798747629562e-01,-7.161011938483340111e-02
