mag_x (uT),mag_y (uT),mag_z (uT)
3.259114707949152034e+01,-3.535074848376443590e+00,3.752696614232755223e+01
3.258537990674667384e+01,-3.544355528637742392e+00,3.754383494151927891e+01
3.256738743388923041e+01,-3.547292352618539812e+00,3.754012772563392986e+01
3.259849961539247687e+01,-3.528421245988081711e+00,3.753726503866889885e+01
3.259707957064969719e+01,-3.538162997027850754e+00,3.755408679544480322e+01
3.260353548289566561e+01,-3.529419807804870413e+00,3.754743238416860152e+01
3.259721405500479108e+01,-3.545569357519949616e+00,3.754300864784445224e+01
3.257821216680491005e+01,-3.508655918631821802e+00,3.755258229574722151e+01
3.258456943636971204e+01,-3.522775391245510423e+00,3.754140165950337149e+01
3.259148455961275914e+01,-3.549999877373903878e+00,3.753179759694344142e+01
3.258832788337325326e+01,-3.527304927025969761e+00,3.752646742645931255e+01
3.257028019238101990e+01,-3.537262259095413253e+00,3.753933361281850267e+01
3.258859588199157287e+01,-3.545326764521668839e+00,3.753371602261432116e+01
3.255910807706163013e+01,-3.552631402818372308e+00,3.753383087780095906e+01
3.258452115953669193e+01,-3.516382028369992696e+00,3.753820570267784973e+01
3.258010689969057694e+01,-3.514935053601946802e+00,3.753939482165871766e+01
3.255662623009724399e+01,-3.532966657682079070e+00,3.753296924764922693e+01
3.257104521693850785e+01,-3.540934848582414585e+00,3.752763858889937154e+01
3.259445343740478052e+01,-3.532835703785129233e+00,3.751969151431980976e+01
3.258145263304037798e+01,-3.531438891312910666e+00,3.753982606137937950e+01
3.259322088869733136e+01,-3.543596336127674551e+00,3.754369951778690506e+01
3.259617587139037909e+01,-3.540529540099917050e+00,3.755794000022480361e+01
3.257674898869576197e+01,-3.519701325144492632e+00,3.754200209636000096e+01
3.257885254287845811e+01,-3.529730355116467155e+00,3.754053288725251036e+01
3.256135813330937623e+01,-3.526647014835222027e+00,3.754697570096141135e+01
3.258242185828508042e+01,-3.544142099032690396e+00,3.753689641810679944e+01
3.258240530612216901e+01,-3.508728344116109010e+00,3.753212965897371589e+01
3.258659814269552868e+01,-3.529790305172425757e+00,3.753708452686392150e+01
3.260200208504631547e+01,-3.537943556546720547e+00,3.753979970991051118e+01
3.257673161328335709e+01,-3.527450025954542046e+00,3.753898175923201563e+01
3.258754444677051509e+01,-3.533455662010990039e+00,3.753367754004703727e+01
3.257022432063825335e+01,-3.521669008905776277e+00,3.753044308835837484e+01
3.257802374733277162e+01,-3.527063537692094020e+00,3.752463246431331356e+01
3.257486148479296162e+01,-3.533356944261121235e+00,3.754026038498326301e+01
3.258834538713328044e+01,-3.539870924236062422e+00,3.752171041463319057e+01
3.258590603447790102e+01,-3.545615873495267856e+00,3.754126338359316861e+01
3.258056104030458755e+01,-3.550001864413673047e+00,3.754107934623652199e+01
3.258445540601861978e+01,-3.530684973770982005e+00,3.753795896611125471e+01
3.258537641975075871e+01,-3.530261669163734073e+00,3.753528545858710430e+01
3.256669486841363437e+01,-3.541022048123058763e+00,3.754498072138638776e+01
3.260009060908155476e+01,-3.535233602252126683e+00,3.754149852378320418e+01
3.258050266196937628e+01,-3.541560449670719368e+00,3.752826310733735937e+01
3.258593413084857815e+01,-3.534759872855754992e+00,3.755901323555058724e+01
3.256676331644177935e+01,-3.541287790627899223e+00,3.753520916974547816e+01
3.256558702299720665e+01,-3.519173885876914376e+00,3.754593285487467114e+01
3.256538271235225324e+01,-3.528153644649530740e+00,3.754167892508574766e+01
3.260086565388455426e+01,-3.541498448524512899e+00,3.753063361332974779e+01
3.257342006512010357e+01,-3.533225394071051628e+00,3.753107722671000346e+01
3.258935172365949740e+01,-3.543147729693361114e+00,3.756113564225138646e+01
3.256250528623039031e+01,-3.532816064164798320e+00,3.754204964523488286e+01
3.258734926365134044e+01,-3.514086143629089332e+00,3.753548053559212150e+01
3.258186858711916045e+01,-3.531626137357977591e+00,3.754289355762859515e+01
3.258880300196830859e+01,-3.532308977913345416e+00,3.755261449307450761e+01
3.258140819056094983e+01,-3.504384845883568467e+00,3.754303071447940710e+01
3.259654585989366637e+01,-3.533022059030384465e+00,3.752435364389199890e+01
3.258817543122759730e+01,-3.541959077887212981e+00,3.751385249296387769e+01
3.257925130938272673e+01,-3.530384289543769150e+00,3.753929985160305449e+01
3.255644912873857066e+01,-3.533614531601164011e+00,3.753142615499115919e+01
3.258580840157701886e+01,-3.546527691904898028e+00,3.753343493442577028e+01
3.257603243255393721e+01,-3.544327922150252608e+00,3.753829144043859145e+01
3.258224604192005813e+01,-3.540274213586183549e+00,3.753616127812252756e+01
3.257446673418802163e+01,-3.525211622088315178e+00,3.753991453936689737e+01
3.256944996761564681e+01,-3.531613135704972262e+00,3.753944281733452470e+01
3.256199885059533017e+01,-3.528478142864429845e+00,3.755436212556973885e+01
3.260564379500857513e+01,-3.534796474170622371e+00,3.754988668617052383e+01
3.259107477589364521e+01,-3.556194655789951753e+00,3.753522011343015663e+01
3.260036569417916752e+01,-3.532721043481749312e+00,3.754478984954085519e+01
3.258248769942150602e+01,-3.538173115701370719e+00,3.754228032423226580e+01
3.258591219902990588e+01,-3.521352271450608917e+00,3.753476772521165117e+01
3.257967516310007028e+01,-3.535107271151412434e+00,3.753755220202718590e+01
3.258211766553685607e+01,-3.526304289506887901e+00,3.754150752176511929e+01
3.258163417598969147e+01,-3.543962516511084626e+00,3.754570704641258772e+01
3.259501696464692344e+01,-3.530561247443450235e+00,3.755193400571915419e+01
3.258777228120631264e+01,-3.536257673145550839e+00,3.752399244764678343e+01
